video_id,duration,bitrate,bitrate(video),height,width,frame rate,frame rate(est.),codec,category,title,hashtags,views,likes,comments
-1tqe-SEvfY,644,6124,5970,1920,1080,29.97,29.97,h264,Gaming,The Amazing Spider Man playthrough pt  29,"playthrough, man, movie, Awesomeshowoff, peter parker, commentary, let's, oscorp, mission, Dood, playstation, faq, Playthrough Part, pc, gameconnors, how, play, tie-in, video, lets play, in, gameplay, AwesomeDoodgaming, lizard, peter, The, walkthrough, alistaire, Xbox 360 (Video Game Platform), Spider, Spider man, 360, Man, smythe, lets, guide, xbox, tie, game, to, Amazing, ps3, Dood of War, Marvel",32,0,0
-1y5CMR0_e8,153,258,203,320,240,29.97,0.0,h264,Autos & Vehicles,BMW M3 Convertible,"Convertible, M3, Cabriolet, BMW",139455,93,36
-2guk-HVM5g,175,184,81,320,240,24.0,0.0,h264,People & Blogs,قصة جميلة ..,,3,1,0
-2lLo-OjUqo,198,555,428,640,480,25.0,0.0,h264,People & Blogs,10 Bets When You Will Always Win.!!!,"Always, Easy, win, bet, You",22,0,0
-34Q0SRD2kQ,60,2756,2657,1280,720,29.97,29.97,h264,People & Blogs,anten tracker test.wmv,"tracker, anten",90,0,0
-3J17-9TRcI,144,857,737,568,320,24.0,0.0,h264,People & Blogs,"Electric Chapel live Born This Way Ball Dallas,Texas",M2U00021,46,1,0
-3eit-tJX3c,266,1281,1203,640,480,25.0,0.0,h264,People & Blogs,Gato e Rato,"262, Fotos, Jussandra",40,2,0
-3kmMVy6aMo,55,804,716,640,480,25.0,0.0,h264,Autos & Vehicles,Mazda MX5 MOT Finmere 13th March 2010,"MOT, MX5, Finmere, Trackday",242,0,0
-45a6-fNYSc,414,767,645,640,480,29.97,0.0,h264,People & Blogs,Chopin Nocturne Op 27 # 2 D Flat Major,"Chopin, Nocturne",41,0,0
-4AMv-cLzYI,178,1763,1568,1920,1080,30.0,30.0,h264,Gaming,光暈戰記-迷失的記憶,"2012, bandicam, 593, 00, 08, 11, 12, 59",119,1,0
-4Fyu-vg-Zs,329,878,744,1280,720,29.92,29.97,h264,Music,System of a Down - Holy Mountains,"of, Down, Hail, Systemofadown, System, Holy, Metal, Mountains",3,0,0
-4HOh-47Rkg,555,341,241,854,480,29.92,0.0,h264,Music,The MMIX @ The Green Oak Pub,M2U00213,132,0,0
-4LBI-xZOFk,60,534,406,480,360,15.0,15.0,h264,Music,The Way It Is - piano cover,"piano, it, hornsby, cover, bruce, way, the, is",501,5,4
-4Rpb-aL6EM,70,1085,1081,1280,720,29.97,29.97,h264,Education,gracioso,perrito gracioso,18,2,0
-4WMQ-PBeb0,304,1037,903,1280,720,29.97,29.97,h264,Music,I Think. HALKI(Sa-Denki) feat.Ai Hibino,"Food, Techno, Ai Hibino, 茶電気, Life style, house, Sa-Denki, music, Model, エレクトロ, テクノ, モデル, Beauty, 日比野愛, electro, HALKI, ハウス, I Think, 音楽, Fashion",652,5,0
-4hEo-fTtXw,70,546,417,640,360,30.0,0.0,h264,Autos & Vehicles,2008 Chevrolet Silverado 1500 Brewton Alabama 9644C,"1500, 2008, Brewton, JimPeachMotors, Silverado, Cars, Chevrolet",3,0,0
-4klr8WYMOY,506,2104,1973,1280,720,25.0,25.0,h264,Music,AMPEG SVT-7 Pro,"#makemoremusic, #session, amp, Session Music, SVT-7 Pro, bass, topteil, Ampeg, head, #ampeg, verstärker",79054,95,30
-4wXG-1-nvs,6,330,230,192,144,16.5,16.5,h264,Comedy,SPINNING,spinning,1307,0,0
-520F-iDQsU,587,543,416,640,356,25.0,0.0,h264,News & Politics,Morire per l'euro?,"Business, Bce, Grecia, Bruno Amoroso, Euro in bilico, Crisi, Wall Street, European crash, Borsa, Economy, Lira, Finance, Bretton Woods, Ritorno alla Lira, News, Economia, Crisi dell'euro, Banche, Analysis, Euro, Lyndon Larouche, Eurozona, Market, Hankel",147,2,1
-5Mnw-gQQ1M,89,1227,1168,800,480,30.0,0.0,h264,Sports,chevy the beast,VIDEO0009,84,1,0
-5bGY-Sz1oo,95,3095,2901,1276,720,30.0,30.0,h264,People & Blogs,Game 2013 06 09 21 12 29 953,,20,0,0
-5lhd-uo4Yo,40,2909,2798,1280,720,29.95,29.95,h264,Howto & Style,How to wear the butterfly shawl,"mcgregor, deborah, silk, Charleston, sari, design, original, Hotflash, in, butterfly, farmers, handspun, charleston, shawl, market, handwoven",34493,53,3
-5t-l-Owk1U,33,256,191,320,240,29.92,0.0,h264,Autos & Vehicles,Poligono almanjayar,automovilismo,2869,0,1
-5xhR-CI2Yo,296,454,326,320,240,15.0,0.0,h264,People & Blogs,BBurch Persuasive speech.avi,"Persuasive, speech, BBurch",20,0,0
-5zWK-G8ER0,147,2215,2020,1440,1080,29.97,29.97,h264,People & Blogs,Atividade paranormal 4 Eita porra eita caralho,"Atividade Paranormal, eita porra, Eita porra eita caralho, eita caralho",298,2,0
-65er-J6gN8,19,2087,2004,1280,720,29.97,29.97,h264,Music,Žur z razlogom 28.8.2010 - Umek 02 HD,"28, umek, carl, razlogom, žur, 2010, cox",439,3,0
-67GXNxzyJU,245,3529,3424,1920,1080,29.97,29.97,h264,Autos & Vehicles,2010 Mustang In Japan! Drifting with Vaughn Gittin Jr.,"news, jr., motortrend, vaughn, car, gittin, review, automotive, ford, mustang, japan, motor, trend, 2010, industry, auto, drift",931811,1887,843
-6KJC-Ug8LA,249,385,276,320,240,29.97,0.0,h264,News & Politics,Madeleine McCann,"OneTrueMedia, Medeleine, McCann",282,3,0
-6Xlv-mwca4,599,906,820,640,480,25.0,0.0,h264,Education,نابغه الطرفايه اسلام عبد الرحمن 1.wmv,"عبد, نابغه, الطرفايه, الرحمن, اسلام",2200,7,0
-6ejp-l-td0,437,666,541,838,480,29.97,0.0,h264,Music,Nossebro Cabare 2012 - Bas - Grease Medley,Nossebro Canare,153,0,0
-6hiL-_JG3o,47,845,741,640,480,25.0,0.0,h264,Travel & Events,Mafia 2 Gamesom 2009,"mafia2, 2009, Gamesom",95,0,0
-76AH-3NzXk,900,1216,1058,960,720,30.0,29.9,h264,Education,Ciclo de conferencias magistrales NI Mexico en el contexto Mundial (parte 6),"ESCA Santo Tomás, LCI",22,0,0
-795Q-fWWvg,197,451,323,384,288,25.0,25.0,h264,Film & Animation,New Stuff United 1.1.1,"Carsten, GTA, Worldmods, damn, weil, =), tags, Hasi, WTF, Baum, Strauch, Blub, AMD, Inside, Baumdiagramm, United, öhm",4197,11,3
-7rCA-l7_Dc,143,3078,2884,1280,670,29.97,29.97,h264,People & Blogs,Holz.,"soarsniping, daresnipin, fazeclan, erauprising",175,5,0
-86Hu-mAnMo,120,712,588,600,480,25.0,0.0,h264,Entertainment,TV NEWS: ZERO1 - Belarus (international ZERO1 Alliance),"ММА, professional wrestling, про-рестлинг, MMA, бои, wrestling, Беларусь, Lucha, Lucha Libre, ZERO-ONE, Gomel, ДК Белицкий, Belarus, 01, wrestle, без правил, драка, реслинг, ZERO1, Гомель, DK Belitskiy, Puroresu, Mixed Martial Arts, побоище, нирэя, Япония, プロレス, рестлинг, pro-wrestling, rasslin",270,3,0
-8Iq8-A5gXY,138,852,739,640,480,25.0,0.0,h264,People & Blogs,Matt et Elodie sur le tapis de jeux / on the playmat,"Coulter, Antoine, Dubai, Matt",105,0,0
-8KVTo0kGjg,140,518,419,640,480,25.0,0.0,h264,Film & Animation,Mentiras Piadosas - Trailer,"Rubén Szuchmacher, Marilú Marini, Paula Ransenberg, 2009, Víctor Laplace, Lydia Lamaison, Claudia Cantero, película, Mónica Lairana, Mentiras Piadosas, Verónica Pelaccini, Walter Quiróz, Blow Up, Hugo Alvarez, Made up Memories, Trailer, Julio Cortázar, Diego Sabanés, film, Claudio Tolcachir",72657,85,17
-8MGM-sE6T8,69,780,697,640,480,25.0,0.0,h264,Sports,duracel jumpstyle 04,jumpstyle,176,3,0
-8SHx-O3S68,19,326,280,320,240,21.42,0.0,h264,People & Blogs,VIDEO0025.3gp,VIDEO0025,24,0,0
-8gap-UkO9A,845,827,708,640,480,15.0,0.0,h264,Gaming,bubble safari ocean level 113-117,"116, safari, 115, 117, ocean, level, 114, 113, Uređivač usluge YouTube, bubble",40,0,0
-9QqI-vAFOw,431,708,585,640,480,25.0,0.0,h264,People & Blogs,RMB (6) CINZA 2x2 ROXO - 18/05/2013,"benga, rmb 2013, racha minha benga, racha, minha, rany, rany34, rmb, ranyere",5,0,0
-9RH-3YWWZw,436,259,194,320,240,30.0,0.0,h264,Education,"Factoring by Any Method, Part 2 of 2, from Thinkwell College Algebra","quartic, factorization, Ed, Burger, perfect, factor, square",12084,57,6
-9uiVBfOzzg,235,1172,1095,848,480,25.0,0.0,h264,Sports,2010 FIM SuperMoto World Championship - Pleven (BUL),"Bulgaria, World, Pleven, SuperMoto, Championship",217061,313,10
-A2_a-mGtlI,301,2119,1997,1280,720,29.97,29.97,h264,Entertainment,Prophecy Song,"globalspirit, linktv, native, sound, shenandoah, sacred, music, joanne, american",79428,949,58
-A4LsI3NC6g,198,531,416,640,480,25.0,0.0,h264,Music,BaustellePanico!,"Baustelle, Panico, torino, bianconi, concerto",36252,75,12
-AAKo-xPjzs,120,530,419,480,360,25.0,25.0,h264,Music,+Org XIII Sing Along: Won't Say I'm in Love+,"organization, demyx, vexen, 13, XIII, org, axel, disney, marluxia, sing, along",2575,18,15
-AVxK-ZeduA,155,327,264,320,240,29.97,0.0,h264,Music,Panorma 1,"pony, portsmouth, rides",101,1,0
-AdZx-IIbxQ,150,377,330,512,288,29.97,0.0,h264,News & Politics,Ann Coulter's Bony Ass Expelled From Ottawa,"racism, hatred, canada, hate, ass, american, crazy, Ann, dumb, cancelled, right, nut, homegrown, ottawa, propaganda, greed, speech, bony, wing, tea, prejudice, bitch, ignorance, Coulter, conservative, bagger, fascism, free, job, republican, terrorist",9428,27,93
-AeSq6xSEtM,90,402,301,352,288,14.16,14.16,h264,Entertainment,Xbox 360 destruction,"destruction, video, xbox360, game",8598,34,18
-Au9O-9mF_E,276,593,472,480,360,29.92,29.92,h264,Education,Guitar Hero 3,highschool,49,0,0
-AvSNyUvRVs,25,598,501,480,360,15.0,15.0,h264,Autos & Vehicles,Lotus Elise 111R Rolling Road,"111R, Lotus, Tuned, Elise, Road, Rolling",14651,10,7
-B6cr-ubQ-E,382,729,606,640,480,29.97,0.0,h264,People & Blogs,Pesona,,734,0,1
-BjVb-Z4l_Q,62,531,438,384,288,11.0,0.0,h264,People & Blogs,Rudi parkir motor..(cipugur banjaratma,,252,0,0
-Bokn-pNSFU,1908,210,0,400,226,12.0,0.0,h264,People & Blogs,هذا الحبيب يا من تحب ابراهيم الشيخي ...,"الحبيب, الشيخي, ابراهيم, تحب, هذا, يا, YouTube, من",49,2,0
-BvxRP9sVk8,46,852,732,640,360,25.0,0.0,h264,People & Blogs,"24 9 Aleppo  أوغاريت حلب , كتائب أحفاد الرسول فرحة الجيش الحر بوصول الذخيرة لجبهة بستان القصر","كتائب أحفاد الرسول فرحة الجيش الحر بوصول الذخيرة لجبهة بستان القصر, 24 9 Aleppo  أوغاريت حلب",1013,30,2
-C7WJd_IzPU,10,814,759,640,480,30.0,0.0,h264,People & Blogs,Беспридел на дороге,"10, 32, 16, 12, 2010, 467, front",4461,0,4
-CHm9yk82Aw,192,1755,1624,1920,1080,29.92,29.97,h264,Travel & Events,Oppsumm CARE,"Oppsumm, CARE",7,0,0
-CMWmOvyPn8,48,223,181,320,240,10.0,0.0,h264,Howto & Style,Ab Workout - Ab Scissors - Step by Step Instructions,"hard, abdominal, abs, flat, firm, how, to, rock, pack, six, workout, get",7319,7,1
-Ca7e-PQ16I,121,889,784,480,360,29.97,0.0,h264,Comedy,cdr!de Silver bullet,knotts berry farm,59,1,0
-Cgq6-W7k90,183,2299,2149,1920,1080,29.97,29.97,h264,Education,MAA UK Regional Tour 2012 - Midlands,"2012, ahmadiyya, uk, islam, tolerance, midlands, Birmingham, youth, ijtema, regional, peace, brotherhood, atfal, tour",176,2,0
-D8bi-9QjAA,440,4554,4425,1920,1080,25.0,25.0,h264,Nonprofits & Activis,Pater Shay Cullen zu Umwelt und Entwicklung auf den Philippinen,"fischer, environment, aufforstung, preda, lebensmittel, umwelt, overfishing, development, landrecht, vernetzte, bergbau, philippinen, aeta, rural, erde, krise, reiskrise, mining, klimawandel, rainforest, nahrung, poverty, hunger, change, shay, cullen, ländliche, crisis, philippines, rice, indigene, people, food, entwicklung, indiginous, climate, überfischung, armut, regenwald",426,2,2
-DKBZ-2W_yA,166,318,186,592,360,15.0,0.0,h264,Science & Technology,Cách tạo account frontpage (PLESK 9),"Cach tao account frontpage, hướng dẫn sử dụng hosting, 1host.vn, huong dan su dung hosting, Cách tạo account frontpage",140,0,0
-DcqXBY-Mr0,54,6152,5957,1920,1080,25.0,25.0,h264,Travel & Events,Mariner of the seas a cagliari (parte1),"royal caribbean international, crociere, RCCL, mariner of the seas, royal, cagliari, royalcaribbean, RCL, mare",95,0,0
-DegY-YEVfM,154,1306,1197,852,480,29.97,0.0,h264,People & Blogs,134 Fátima Neves.Ley,"esporte, feira-livre, politico, educação, terceira-idade, pt, vereadora, Fátima-neves, la-ley-de-fortaleza, creche, meio-ambiente, feirante, pv, nossa-das-graças",3,0,0
-DyUg-WiDj4,3956,399,301,320,192,29.97,0.0,h264,People & Blogs,Sangre y cruz Parte 2 / Pastor Hector Betancur / Junio/30/20,"Betancur, cruz, Pastor, Sangre, Junio/30/2013, Hector",11453,214,11
-E08OPdVZvw,86,678,640,480,360,29.97,0.0,h264,Entertainment,Cushmanpaintball Browning .50 Paintball Marker Kit,"Marker, Paintball, Cushmanpaintball, .50, kit, Browning, Cushman",160051,358,0
-E5uZ-ysU-0,15,1244,1180,640,480,29.97,0.0,h264,People & Blogs,Siem Reap to Battambang,"08391, MVI",11,0,0
-ELd7-JdI4s,112,944,880,640,480,25.0,0.0,h264,Howto & Style,cooking with lucas season #4 episode 1,"cooking, food, kitchen",15,0,0
-Ea_W-EgfBQ,15,920,825,640,480,29.92,0.0,h264,Film & Animation,GhostToursBREV.wmv,"Tours, Chattanooga, Ghost",84,0,0
-EyW-IBlVFE,345,367,265,298,224,30.0,30.0,h264,Entertainment,SNES Illusion of Gaia (EU Illusion of Time),"Shiryu, of, Time, Gaia, SNES, Illusion of Time, Super Nintendo, Enix, Illusion of Gaia, Nintendo, Quintet, Super Famicom, Super, Illusion, Gaia (Video Game Series)",62207,89,44
-F0Tw-w3gF4,14,883,826,320,240,29.97,0.0,h264,Gaming,ﾒﾀﾞﾙｹﾞｰﾑ海物語ｽﾍﾟｼｬﾙ　ｻﾑｶﾒﾊﾒ波ﾘｰﾁ.AVI,ｻﾑｶﾒﾊﾒ波ﾘｰﾁ,1797,0,0
-FCjX-FogQw,18,885,821,384,288,30.0,0.0,h264,Pets & Animals,100_1250.MOV,horses,17,0,0
-FEe7kWJ-6c,245,772,688,480,360,30.0,0.0,h264,Entertainment,Svengali Card Tricks - Ellusionist Ghost Svengali Deck,"ellusionist, ghost, deck, tricks, card, svengali",117936,288,60
-FKoT-7hCO0,20,911,824,640,480,29.97,0.0,h264,People & Blogs,CIMG0161,CIMG0161,13,0,0
-FLyB-Hf8IU,353,1062,1054,1280,720,29.97,29.97,h264,Travel & Events,Jo'An's to Chevron,"MOTORCYCLE, VIDEO, TWISTIES, RIDE, MOUNTAIN, LABOR DAY, STOP ACTION, IDYLLWILD, I.E.H.O.G.",19,0,0
-FjFN-wVoZM,257,3114,2979,1280,720,29.92,29.97,h264,Science & Technology,Logitech Alert 750i Master Security System Unboxing,"Logitech, Review, Alert, 750i, Master, Unboxing, System, Camera, Security",24354,10,8
-G-_agayOYQ,98,2428,2234,900,720,25.0,25.0,h264,People & Blogs,Без названия,"Без, названия",99,1,0
-G-gz-LphTs,437,2645,2490,1280,720,29.97,29.97,h264,Gaming,Battleforge 1vs1 051 PureNature vs Twilight,"Tyraello, klotor, Games, Free, Video Game, Tyro, multiplayer, battleforge, Shoutcast, pvp, gameplay, English, gra, 1vs1, Rts, game, Real-time Strategy, Commentary, MrTyraello, Replay",266,6,3
-GPcT-HdvRE,50,1062,1023,720,480,29.97,0.0,h264,Entertainment,JJ n Mason outside,mobile,14,0,0
-GUiX-kUymI,1324,1558,1403,1280,720,29.97,29.97,h264,Gaming,Journey : Gameplay Walkthrough Part 5 - Into the Blizzard,"Mountain, Gameplay, PSN, The Light, Walkthrough, The Summit, DLC, TheTrueIronGamer, Download, Transformation, TheGameCompany, Hauppauge Settings, Death Scene, Live Commentary Guide, Blizzard, Soundtrack, Online, Snowy Mountain, PS3, Journey Ending, Journey, Snow Mountain, Enemy Attack, Guide, Intro, Music, OST, HD",517,12,11
-Gvab-D49ks,94,920,883,640,480,29.5,0.0,h264,Nonprofits & Activis,Grow Closet (Budding) #4,"cannabis, pot, florescents, cfl's, blueberrydiesel, weed, hashplant, growcloset, dank, buds, clones, ganja, sensistar, marijuana, newyorkcitydiesel, herb, t5's",3622,13,8
-H0bjSs2IHs,174,287,175,320,240,45.17,0.0,h264,Comedy,New Kids On The Block sketch 3,"steffen, block, tim, the, new, flabber.n, sketch, series, pulpshow, flabber, kids, flip, peter, depulpshow, wesley, huub, halal, 100%, on",6426374,10012,1036
-HDWD-2j-dg,8,1288,1178,854,480,29.92,0.0,h264,Education,100年嶺東中學進修學校畢業典禮06,"import, 110609, 195842",105,0,0
-HIxNwBt4wI,78,155,20,320,240,18.0,0.0,h264,News & Politics,جاسم إطلاق نار كثيف على المنازل جمعة كل السوريين 13 4 2012,"جاسم, 1",476,3,0
-HKm3-I691w,90,892,805,640,480,30.0,0.0,h264,Music,Eskimo Smile's Early Morning Arrival To The Dance Tent - WhatFest,"The, Early, Dance, To, Tent, Smile's, Eskimo, Arrival, Morning, WhatFest",114,0,0
-HYfN-LBdTI,11,1671,1477,1280,720,30.0,30.0,h264,Sports,Backflip Niño Aleman,"SloPro, iPhone, slow motion, 60fps",42,0,0
-Hd6K-YO79s,82,4761,4567,1920,1080,25.0,25.0,h264,News & Politics,Velikonoční prohlídky dobříšského zámku,"Dobříš, Velikonoce, zámek, prohlídky, děti",58,0,0
-Hg5D-Nt6O8,43,502,407,320,240,15.0,0.0,h264,Entertainment,video 2012 09 04 08 56 03,"2012, 08, 04, video, 09, 56, 03",25,0,0
-INiw-cVMjs,154,1167,1079,720,480,30.0,0.0,h264,Autos & Vehicles,thunder hill racing,"thunderhill raceway park (location), crash, endurance racing, world's greatest drag ra, nasa, yamaha, racing, track, road racing, thunderhill raceway, gopro, 25 hours of thunderhill, race, thunderhill",30,0,0
-IUJO-5r-AM,331,577,451,640,480,29.92,0.0,h264,People & Blogs,Alexandria  egypt the city of love,"of, egypt, city, the, Alexandria, love",1117,12,0
-IXJq-6YEw8,243,764,641,640,480,29.97,0.0,h264,Nonprofits & Activis,FÓRUM Pessoa com Deficiência - Vale Mais - TV Unisinos - abril 2012,"TV Unisinos, Vale Mais",14,0,0
-IbnD-vql70,67,2560,2451,1280,720,29.92,29.97,h264,People & Blogs,La Mora 2011,"guanjuato, mora, la, 2011",1697,3,0
-JIk6-dAwWo,22,515,405,272,480,29.97,0.0,h264,Comedy,Penguicon,Balloons,21,0,0
-JMPz-yPwZg,58,876,769,640,480,29.97,0.0,h264,Pets & Animals,Weekend at CEC 5.wmv,"at, CEC, Weekend, 5",17,0,0
-JQIk-tQImk,155,2152,2024,1280,720,29.97,29.97,h264,Science & Technology,"Schindler Elevator at Roosevelt Field in Garden City, NY","Mall, NY, Roosevelt Field, Roosevelt Field Mall",2533,10,1
-KMMi-AgEJs,56,832,741,568,320,29.97,0.0,h264,Comedy,Famous senseis7079s igloo,"It, Like",18,0,0
-KN4v-CcZyY,113,2985,2831,1280,720,30.0,30.0,h264,Science & Technology,Assassins Creed Brotherhood Medium Kill Streak (Virtual training) (SCORE 1600),"creed:Brotherhood, 1600!, medium, streak, SCORE, Assassins, kill",89,5,1
-KOI1-JbAZ0,6,1474,1368,854,480,30.0,0.0,h264,News & Politics,Larging it at Prolight,"sound, Prolight, Frankfurt, lighting, disco",95,0,0
-KZ1m-pnvUg,30,836,748,620,360,30.0,0.0,h264,Gaming,My Minecraft Palace,"server, beautiful, minecraft, europia, distopia",7087,11,8
-KzZH-SN_Y8,69,485,430,480,270,24.0,0.0,h264,Autos & Vehicles,Pre-Owned 2005 Nissan Titan Tacoma WA,"Nissan, TitusWillToyota, WA, Tacoma, 2005, VideoCarlot, Titan",5,0,0
-LGeY-iP_ds,24,472,342,640,480,29.67,0.0,h264,People & Blogs,MOV0239,,251,1,0
-LXlR-RAeag,68,488,413,568,320,30.0,0.0,h264,Travel & Events,hotel de Cacharel,"Voyage, Hotel, chevaux, maries, la, Coucher, saintes, Soleil, de, mer, Cacharel",727,6,0
-L_rE-mcC-A,452,459,334,640,480,29.97,0.0,h264,Music,dj set hip hop dj Celerity !,"hip hop mix, rmx, remix",2910,6,3
-LeOjj2XjzA,93,646,574,640,360,25.0,0.0,h264,Autos & Vehicles,Ural-63095 Ural 63095 Typhoon New Russian Armored truck Russia defence industry Video RIA Novosti,"multi-purpose armoured truck, Typhoon Ural-63095, army news, defence industry news, Russian defence industry, army recognition, Ural 63095, defence news, Russia defence industry, Russia military technology, military news, Ural-63095, Typhoon armoured truck, Russian military technology",14208,44,2
-M0JpMMOymE,357,770,648,654,480,29.97,0.0,h264,Music,Heaven樂團 you give love a bad name,"live concert, rock music, live music",285,2,1
-MP0x-NUaJw,73,310,230,320,240,26.92,0.0,h264,People & Blogs,DANÇA DA PIZZA.mp4,"PIZZA, DANÇA, DA",109,0,0
-MZyA-S28Uo,443,3788,3594,1920,1080,29.97,29.97,h264,Nonprofits & Activis,Improvviso temporale a Cagliari con tuoni e fulmini (h.21:30 del 29 Settembre 2012),"pianetaterratv, tuoni, cielo, saette, fulmini, natura, temporale Cagliari, ilmeteo.it, Maurizio Andrea Loi, cagliari, nuvole",9641,58,2
-MhrbzWePz0,46,261,199,294,240,39.08,0.0,h264,Science & Technology,AmigaOS 4.1 Composition Engine - Part 2,"AmigaOS, 4.1",5088,15,5
-NH9f-FJ9Zw,93,912,826,640,480,29.67,0.0,h264,Comedy,EL SEÑOR DE LAS GALLINAS,"gallinas, Sr, las, de, el",176,3,1
-NJ1w-zcG5k,599,908,822,640,480,29.92,0.0,h264,Music,Deacon Murphy Presents:7th year Anniversary~~The W D Singers~~,"Singers~~, year, Presents:7th, Murphy, Anniversary~~The, preaching, Deacon, christianity",11,0,0
-NJJZ-DmKiI,79,389,345,320,240,15.0,0.0,h264,People & Blogs,mi cumple :),"VID, 20100808, 0016, 00014",31,1,0
-NJLP-EE0E4,51,2073,1945,1280,720,29.92,29.92,h264,Comedy,The Insane Basketball Shot,"star, spongebob, pop, mr, the, goes, wars, insane, weasel, shot, drop, mpop, gaga, in, ima, shuttle, nba, lady, nfl, nhl, band, ultimate, icarly, you, motherload, fluffy, shanedawson, makemebad35, to, im, mlb, basketball",195,0,0
-NaOr-3jEyE,599,1126,1012,854,480,25.0,0.0,h264,Entertainment,"Video Dsr 50 #""1","PIC, 0021",36,2,0
-NclO-hiJS4,31,402,298,320,240,15.0,0.0,h264,Education,Rammstein 2011,SDC12355,5,0,0
-O3yd-PEe7s,42,166,99,176,144,43.92,0.0,h264,Comedy,Kleopatra Pietrapaola Mare,"estate, 2006",215,0,0
-OD7o-UTX90,42,868,788,640,480,30.0,0.0,h264,Travel & Events,"Acidente de kart, ajudante de pista quebra o pé.","engraçado, kart. funny, alemão, acidente, Kart Racing (Sport), corrida, fatal, competição",639,4,0
-OK5m-x6oBk,327,615,502,480,360,30.0,30.0,h264,Music,"luh caipirinha, festa junina ciesc imaculada 2008","viola, famosa, mais, caipira",733,0,0
-OTxw-ZZqt4,66,419,289,480,270,24.0,0.0,h264,Autos & Vehicles,Used 2011 FORD FLEX Ennis TX,"Ennis, TX, Array, vSHOC, 2011, Vidbrid, FORD, EnnisFord, VideoCarlot",0,0,0
-OURM-OpeYw,126,2094,1899,960,720,29.97,29.97,h264,Autos & Vehicles,Fj-unter Dampf.wmv,motorcycle,273,2,1
